no,originalSMILES,finalSMILES,expVDss(L/kg),predVDss(L/kg),expCL(mL/min/kg),predCL(mL/min/kg),expt1/2(h),predt1/2(h),expfu,predfu,explogVDss,predlogVDss,explogCL,predlogCL,explogt1/2,predlogt1/2,explogfu,predlogfu
"Table S1. Experimental and Predicted Human VDss, CL, t1/2, and fu of the Whole Dataset Consisted of 1270 compounds",,,,,,,,,,,,,,,,,,
,,,exp VDss,pred VDss,exp CL,pred CL,exp t1/2,pred t1/2,,,exp,pred,exp,pred,exp,pred,exp,pred
no.,original SMILESa,final SMILESb,,,,,,,,exp fu pred fu,,,,,,,,
,,,(L/kg),(L/kg),(mL/min/kg),(mL/min/kg),(h),(h),,,logVDss,logVDss,logCL,logCL,logt1/2,logt1/2,logfu,logfu
,NC1=NC(=O)N(C=C1)[C@H]2CO[C@@H](C,,,,,,,,,,,,,,,,,
1,,NC1=NC(=O)N(C=C1)[C@H]2CO[C@@H](CO)S2,1.18,0.78,3,3.68,19.2,8.67,,,0.07,-0.11,0.48,0.57,1.28,0.94,,
,O)S2,,,,,,,,,,,,,,,,,
,NC1=NC(=O)N(C=C1)[C@@H]2CO[C@H](C,,,,,,,,,,,,,,,,,
2,,NC1=NC(=O)N(C=C1)[C@@H]2CO[C@H](CO)S2,0.84,0.79,3.9,4.05,8.92,8.17,,,0.08,-0.10,0.59,0.61,0.95,0.91,,
,O)S2,,,,,,,,,,,,,,,,,
,O[C@@H]1C[C@@](C[C@@H](OC(=O)C=C,O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\C2=C,,,,,,,,,,,,,,,,
3,C2=CC=C(O)C(=C2)O)[C@@H]1O)(OC(=O)C,C(=C(O)C=C2)O)[C@@H]1O)(OC(=O)\C=C/C3=CC(,0.79,1.01,8.7,13.11,1.37,1.43,,,0.10,0.00,0.94,1.12,0.14,0.16,,
,=CC3=CC=C(O)C(=C3)O)C(O)=O,=C(O)C=C3)O)C([O-])=O,,,,,,,,,,,,,,,,
,C[C@@H]1O[C@H](C[C@@H](O)[C@H]1O),C[C@@H]1O[C@@H](C[C@@H](O)[C@@H]1O)O[,,,,,,,,,,,,,,,,
