Row 1: SMILES validation failed (orig_valid=True, final_valid=False).
Row 2: SMILES validation failed (orig_valid=False, final_valid=False).
Row 3: SMILES validation failed (orig_valid=False, final_valid=False).
Row 4: SMILES validation failed (orig_valid=False, final_valid=False).
Row 5: SMILES validation failed (orig_valid=False, final_valid=False).
Row 6: SMILES validation failed (orig_valid=False, final_valid=False).
Row 7: SMILES validation failed (orig_valid=False, final_valid=False).
Row 8: SMILES validation failed (orig_valid=False, final_valid=False).
Row 9: SMILES validation failed (orig_valid=False, final_valid=False).
Row 10: SMILES validation failed (orig_valid=False, final_valid=False).
Row 11: SMILES validation failed (orig_valid=False, final_valid=False).
Row 12: SMILES validation failed (orig_valid=False, final_valid=False).
Row 15: SMILES validation failed (orig_valid=False, final_valid=False).
Row 16: SMILES validation failed (orig_valid=False, final_valid=False).
Row 17: SMILES validation failed (orig_valid=False, final_valid=False).
Row 18: SMILES validation failed (orig_valid=False, final_valid=False).
Row 22: SMILES validation failed (orig_valid=False, final_valid=False).
Row 25: SMILES validation failed (orig_valid=False, final_valid=False).
Row 28: SMILES validation failed (orig_valid=False, final_valid=False).
Row 29: SMILES validation failed (orig_valid=False, final_valid=False).
Row 30: SMILES validation failed (orig_valid=False, final_valid=False).
Row 31: SMILES validation failed (orig_valid=False, final_valid=False).
Row 32: SMILES validation failed (orig_valid=False, final_valid=False).
Row 34: SMILES validation failed (orig_valid=False, final_valid=False).
Row 35: SMILES validation failed (orig_valid=False, final_valid=False).
Row 36: SMILES validation failed (orig_valid=False, final_valid=False).
Row 37: SMILES validation failed (orig_valid=False, final_valid=False).
Row 39: SMILES validation failed (orig_valid=False, final_valid=False).
Row 40: SMILES validation failed (orig_valid=False, final_valid=False).
Row 41: SMILES validation failed (orig_valid=False, final_valid=False).
Row 45: SMILES validation failed (orig_valid=False, final_valid=False).
Row 46: SMILES validation failed (orig_valid=False, final_valid=False).
Row 47: SMILES validation failed (orig_valid=False, final_valid=False).
Row 48: SMILES validation failed (orig_valid=False, final_valid=False).
Row 50: SMILES validation failed (orig_valid=False, final_valid=False).
