gene,c7_exh_count,c7_tcr_count,c2_exh_count,c2_tcr_count,c5_go_count,score
AKT1,0.0,1.0,6.0,125.0,2.0,266.0
PIK3CA,1.0,4.0,6.0,96.0,3.0,218.0
AKT3,1.0,5.0,4.0,91.0,0.0,203.0
AKT2,1.0,0.0,4.0,94.0,0.0,199.0
PIK3CD,6.0,5.0,4.0,71.0,4.0,182.0
UBB,0.0,3.0,1.0,77.0,0.0,162.0
PIK3CB,0.0,3.0,5.0,73.0,0.0,162.0
RPS27A,0.0,1.0,0.0,79.0,0.0,160.0
UBC,1.0,4.0,2.0,72.0,0.0,159.0
UBA52,0.0,2.0,0.0,75.0,0.0,154.0
MTOR,2.0,2.0,1.0,58.0,6.0,134.0
MAPK1,0.0,2.0,5.0,56.0,1.0,127.0
PIK3R1,1.0,7.0,6.0,47.0,3.0,126.0
MAPK3,1.0,1.0,3.0,52.0,0.0,115.0
GRB2,1.0,4.0,4.0,48.0,0.0,115.0
TP53,0.0,3.0,2.0,49.0,6.0,114.0
NFKB1,0.0,9.0,5.0,43.0,0.0,114.0
EP300,0.0,0.0,1.0,52.0,6.0,112.0
CDKN1A,1.0,6.0,4.0,41.0,1.0,106.0
CREBBP,1.0,5.0,1.0,43.0,0.0,101.0
STAT1,4.0,20.0,1.0,23.0,0.0,100.0
IL6,1.0,19.0,2.0,22.0,6.0,95.0
HDAC1,0.0,7.0,2.0,37.0,0.0,92.0
MYC,1.0,7.0,5.0,32.0,0.0,91.0
SRC,0.0,4.0,2.0,38.0,2.0,90.0
EGFR,0.0,3.0,2.0,40.0,0.0,90.0
GSK3B,2.0,1.0,1.0,40.0,0.0,90.0
FYN,3.0,6.0,3.0,29.0,3.0,88.0
PRKCA,2.0,9.0,4.0,28.0,0.0,88.0
KRAS,0.0,3.0,4.0,36.0,0.0,86.0
CD86,2.0,16.0,5.0,15.0,6.0,84.0
LCK,2.0,2.0,5.0,29.0,4.0,82.0
IFNG,4.0,14.0,3.0,15.0,6.0,82.0
CCL5,5.0,24.0,2.0,6.0,2.0,81.0
PIK3R2,0.0,2.0,5.0,32.0,3.0,81.0
CALM1,0.0,1.0,3.0,36.0,0.0,80.0
PSME2,2.0,16.0,0.0,21.0,0.0,80.0
TNF,0.0,17.0,3.0,19.0,0.0,78.0
H2AC6,0.0,7.0,1.0,31.0,0.0,78.0
PIK3R3,3.0,3.0,5.0,25.0,3.0,78.0
NRAS,0.0,2.0,2.0,35.0,0.0,78.0
MAP3K8,3.0,20.0,0.0,13.0,2.0,77.0
FOXO3,3.0,8.0,2.0,22.0,3.0,76.0
PIK3CG,0.0,6.0,4.0,27.0,2.0,76.0
LEF1,6.0,12.0,1.0,13.0,6.0,76.0
NFKBIA,0.0,10.0,3.0,25.0,0.0,76.0
PSMB9,2.0,12.0,0.0,23.0,0.0,76.0
PTPN11,1.0,2.0,7.0,26.0,2.0,75.0
HRAS,0.0,0.0,2.0,35.0,1.0,75.0
CREB1,0.0,1.0,0.0,36.0,0.0,74.0
SOCS3,1.0,12.0,2.0,18.0,6.0,73.0
H2AC4,0.0,3.0,2.0,31.0,0.0,72.0
PDPK1,0.0,4.0,0.0,31.0,2.0,72.0
H2AC18,0.0,4.0,0.0,32.0,0.0,72.0
RAC1,0.0,4.0,2.0,30.0,0.0,72.0
H2AC8,0.0,3.0,1.0,32.0,0.0,72.0
AURKA,1.0,15.0,2.0,17.0,0.0,71.0
RELA,0.0,3.0,1.0,31.0,1.0,71.0
CBFB,0.0,6.0,2.0,26.0,3.0,71.0
H4C1,0.0,4.0,1.0,30.0,0.0,70.0
MDM2,0.0,6.0,1.0,28.0,0.0,70.0
MAPK14,0.0,7.0,1.0,27.0,0.0,70.0
H2BC11,0.0,4.0,0.0,31.0,0.0,70.0
CD28,2.0,6.0,5.0,18.0,6.0,70.0
JUN,2.0,6.0,2.0,24.0,0.0,70.0
PTPN6,2.0,7.0,4.0,19.0,4.0,70.0
H4C3,0.0,4.0,0.0,31.0,0.0,70.0
H4C8,0.0,3.0,0.0,32.0,0.0,70.0
BRCA1,3.0,7.0,1.0,22.0,0.0,69.0
FOS,1.0,8.0,0.0,25.0,0.0,69.0
H3C7,2.0,3.0,0.0,28.0,0.0,68.0
H4C9,0.0,3.0,0.0,31.0,0.0,68.0
SOCS1,3.0,13.0,2.0,13.0,3.0,68.0
CTNNB1,1.0,3.0,1.0,26.0,4.0,67.0
H4C6,1.0,2.0,0.0,30.0,0.0,67.0
PLCG1,4.0,4.0,2.0,21.0,1.0,67.0
PRKCB,2.0,6.0,3.0,21.0,1.0,67.0
CASP3,3.0,10.0,2.0,16.0,2.0,67.0
SOS1,0.0,2.0,3.0,26.0,4.0,66.0
RXRA,2.0,10.0,2.0,18.0,0.0,66.0
