gene,mechanism,priority_score
HAVCR2,Checkpoint,26.0
PDCD1,Checkpoint,40.0
LAG3,Checkpoint,42.0
CTLA4,Checkpoint,52.0
PTPN22,Negative_Regulator_TCR,46.0
PTPN11,Negative_Regulator_TCR,77.0
PTPN6,Negative_Regulator_TCR,72.0
DGKA,Negative_Regulator_TCR,42.0
CBLB,Negative_Regulator_TCR,42.0
PIK3IP1,Negative_Regulator_TCR,46.0
DGKZ,Negative_Regulator_TCR,24.0
CBL,Negative_Regulator_TCR,48.0
DUSP2,Negative_Regulator_TCR,49.0
RPTOR,PI3K_AKT_mTOR_Metabolism,42.0
PIK3CD,PI3K_AKT_mTOR_Metabolism,184.0
PIK3R1,PI3K_AKT_mTOR_Metabolism,128.0
TSC1,PI3K_AKT_mTOR_Metabolism,58.0
PPP2CA,Phosphatase_Calcineurin_PP2A,68.0
PPP2R1A,Phosphatase_Calcineurin_PP2A,56.0
ZAP70,Proximal_TCR,55.0
LCK,Proximal_TCR,84.0
LCP2,Proximal_TCR,50.0
LAT,Proximal_TCR,41.0
BATF,Transcriptional_Program,30.0
NR4A1,Transcriptional_Program,30.0
NFATC2,Transcriptional_Program,53.0
NR4A2,Transcriptional_Program,42.0
NR4A3,Transcriptional_Program,42.0
IRF4,Transcriptional_Program,57.0
NFATC1,Transcriptional_Program,44.0
PRDM1,Transcriptional_Program,40.0
TOX,Transcriptional_Program,23.0
